month,category,title,classification,reason,example_title,july_occurrences,days_present,first_seen,last_seen
2026-07,broader_office_administration,"ifa administrator / financial planning administrator, croydon, £35,000 + bonus + benefits package",ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,"IFA Administrator / Financial Planning Administrator, Croydon, £35,000 + Bonus + Benefits Package",7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,ifa administrator/ paraplanner,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,IFA Administrator/ Paraplanner,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,italian and french speaking customer service administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Italian and French speaking Customer Service Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,junior ifa administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Junior IFA Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,mortgage administrator required top ifa firm,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Mortgage Administrator required top IFA firm,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,nights export administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Nights Export Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,pension administrator - new business team,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Pension Administrator - New Business Team,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,pension administrator office based,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Pension Administrator Office based,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,pension and investment administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Pension and Investment Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,property helpdesk administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Property Helpdesk Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,recoveries administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Recoveries Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,removals administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Removals Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,returns administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Returns Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,site administrator co-ordinator 12 month fixed term contract,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Site Administrator Co-ordinator 12 month Fixed term contract,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,"trainee financial administrator, barnet, north london, £25,000 - £30,000 + benefits",ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,"Trainee Financial Administrator, Barnet, North London, £25,000 - £30,000 + Benefits",7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,training administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Training Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,travel administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Travel Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,wealth administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Wealth Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,band 2 administrator temporary full time,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Band 2 Administrator temporary Full Time,6,6,2026-07-02,2026-07-07
2026-07,broader_office_administration,band 3 medical workforce administrator (belfast),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Band 3 Medical Workforce Administrator (Belfast),6,6,2026-07-04,2026-07-09
2026-07,broader_office_administration,band 5 complaints administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Band 5 Complaints Administrator,6,6,2026-07-02,2026-07-07
2026-07,broader_office_administration,business operations coordinator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Business Operations Coordinator,6,6,2026-07-09,2026-07-14
2026-07,broader_office_administration,credit administrator - part time 30hrs,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Credit Administrator - Part Time 30hrs,6,6,2026-07-01,2026-07-06
2026-07,broader_office_administration,customer operations coordinator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Customer Operations Coordinator,6,6,2026-07-02,2026-07-07
2026-07,broader_office_administration,customer relations administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Customer Relations Administrator,6,6,2026-07-09,2026-07-14
2026-07,broader_office_administration,financial administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Financial Administrator,6,6,2026-07-01,2026-07-06
2026-07,broader_office_administration,goods-in administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Goods-In Administrator,6,6,2026-07-09,2026-07-14
2026-07,broader_office_administration,hse administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,HSE Administrator,6,6,2026-07-09,2026-07-14
2026-07,broader_office_administration,ifa administrator - hybrid working,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Ifa Administrator - hybrid working,6,2,2026-07-01,2026-07-02
2026-07,broader_office_administration,information governance administrator(temp),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Information Governance Administrator(Temp),6,6,2026-07-04,2026-07-09
2026-07,broader_office_administration,netsuite administrator hyper-growth retail,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,NetSuite Administrator Hyper-Growth Retail,6,6,2026-07-09,2026-07-14
2026-07,broader_office_administration,order desk administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Order Desk Administrator,6,6,2026-07-01,2026-07-06
2026-07,broader_office_administration,redhat administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Redhat Administrator,6,6,2026-07-02,2026-07-07
2026-07,broader_office_administration,school administrator - cardiff primary school,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,School Administrator - Cardiff Primary School,6,6,2026-07-09,2026-07-14
2026-07,broader_office_administration,school administrator - cardiff secondary school asap start,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,School Administrator - Cardiff Secondary School ASAP Start,6,6,2026-07-09,2026-07-14
2026-07,broader_office_administration,tender administrator - property & construction,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Tender Administrator - Property & Construction,6,6,2026-07-09,2026-07-14
2026-07,broader_office_administration,academic administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Academic Administrator,5,5,2026-07-10,2026-07-14
2026-07,broader_office_administration,apprentice administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Apprentice Administrator,5,5,2026-07-10,2026-07-14
2026-07,broader_office_administration,business support administrator (temporary),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Business Support Administrator (Temporary),5,5,2026-07-02,2026-07-06
2026-07,broader_office_administration,crm data administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,CRM Data Administrator,5,5,2026-07-09,2026-07-14
2026-07,broader_office_administration,document controller / projects administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Document Controller / Projects Administrator,5,5,2026-07-10,2026-07-14
2026-07,broader_office_administration,driver services administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Driver Services Administrator,5,5,2026-07-10,2026-07-14
2026-07,broader_office_administration,drug safety administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Drug Safety Administrator,5,5,2026-07-10,2026-07-14
2026-07,broader_office_administration,health & safety administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Health & Safety Administrator,5,5,2026-07-10,2026-07-14
2026-07,broader_office_administration,loan administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Loan Administrator,5,3,2026-07-01,2026-07-07
2026-07,broader_office_administration,part time shipping and purchasing administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Part Time Shipping and Purchasing Administrator,5,5,2026-07-01,2026-07-05
2026-07,broader_office_administration,pension administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Pension Administrator,5,3,2026-07-01,2026-07-03
2026-07,broader_office_administration,people & culture administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,People & Culture Administrator,5,5,2026-07-10,2026-07-14
2026-07,broader_office_administration,people operations coordinator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,People Operations Coordinator,5,5,2026-07-10,2026-07-14
2026-07,broader_office_administration,post-completion administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Post-Completion Administrator,5,5,2026-07-10,2026-07-14
2026-07,broader_office_administration,primary school administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Primary School Administrator,5,5,2026-07-10,2026-07-14
2026-07,broader_office_administration,talent administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Talent Administrator,5,5,2026-07-10,2026-07-14
2026-07,broader_office_administration,access arrangements and examination administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Access Arrangements and Examination Administrator,4,4,2026-07-11,2026-07-14
2026-07,broader_office_administration,administrator - to £28k - immediate interviews,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Administrator - To £28k - Immediate Interviews,4,4,2026-07-06,2026-07-09
2026-07,broader_office_administration,administrator / health and safety team,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Administrator / Health and Safety Team,4,4,2026-07-10,2026-07-14
2026-07,broader_office_administration,contracts assistant / administrator - warwickshire,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Contracts Assistant / Administrator - Warwickshire,4,2,2026-07-01,2026-07-02
2026-07,broader_office_administration,"fundraising, engagement and communications administrator",ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,"Fundraising, Engagement and Communications Administrator",4,4,2026-07-01,2026-07-05
2026-07,broader_office_administration,graduate architectural planning applications administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Graduate Architectural Planning Applications Administrator,4,4,2026-07-11,2026-07-14
2026-07,broader_office_administration,ifa administrator hybrid,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,IFA Administrator Hybrid,4,4,2026-07-01,2026-07-07
2026-07,broader_office_administration,learning and development administrator (part-time),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Learning and Development Administrator (Part-time),4,4,2026-07-02,2026-07-05
2026-07,broader_office_administration,"mis administrator for examinations - full time, term time (41 weeks)",ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,"MIS Administrator for Examinations - Full time, Term Time (41 weeks)",4,4,2026-07-11,2026-07-14
2026-07,broader_office_administration,part time administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Part Time Administrator,4,4,2026-07-02,2026-07-05
2026-07,broader_office_administration,qa administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,QA Administrator,4,4,2026-07-11,2026-07-14
2026-07,broader_office_administration,service administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Service Administrator,4,4,2026-07-11,2026-07-14
2026-07,broader_office_administration,workplace operations coordinator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Workplace Operations Coordinator,4,4,2026-07-11,2026-07-14
2026-07,broader_office_administration,administrator - erp systems,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Administrator - ERP Systems,3,3,2026-07-08,2026-07-10
2026-07,broader_office_administration,administrator and contracts coordinator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Administrator and Contracts Coordinator,3,3,2026-07-01,2026-07-03
2026-07,broader_office_administration,building safety administrator - up to 9 month ftc,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Building Safety Administrator - Up to 9 month FTC,3,3,2026-07-01,2026-07-03
2026-07,broader_office_administration,financial services administrator (graduate),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Financial Services Administrator (Graduate),3,3,2026-07-07,2026-07-09
2026-07,broader_office_administration,laundry administrator (temp to perm),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Laundry Administrator (Temp to Perm),3,3,2026-07-12,2026-07-14
2026-07,broader_office_administration,scheduling compliance administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Scheduling Compliance Administrator,3,3,2026-07-10,2026-07-14
2026-07,broader_office_administration,service delivery administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Service Delivery Administrator,3,3,2026-07-07,2026-07-09
2026-07,broader_office_administration,service desk administrator - audio visual,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Service Desk Administrator - Audio Visual,3,3,2026-07-03,2026-07-05
2026-07,broader_office_administration,stock audit administrator nights,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Stock Audit Administrator Nights,3,3,2026-07-01,2026-07-03
2026-07,broader_office_administration,academic services administrator - fixed term contract,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Academic Services Administrator - Fixed Term Contract,2,2,2026-07-01,2026-07-02
2026-07,broader_office_administration,banking administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Banking Administrator,2,2,2026-07-08,2026-07-09
2026-07,broader_office_administration,client servicing administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Client Servicing Administrator,2,2,2026-07-01,2026-07-02
2026-07,broader_office_administration,corporate insolvency administrator-remote,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Corporate Insolvency Administrator-Remote,2,2,2026-07-01,2026-07-02
2026-07,broader_office_administration,financial services administrator - group risk,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Financial Services Administrator - Group Risk,2,2,2026-07-01,2026-07-02
2026-07,broader_office_administration,health roster administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Health Roster Administrator,2,2,2026-07-02,2026-07-03
2026-07,broader_office_administration,ifa administrator - hybrid,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Ifa Administrator - Hybrid,2,2,2026-07-01,2026-07-02
2026-07,broader_office_administration,in service support project coordinator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,In Service Support Project Coordinator,2,2,2026-07-01,2026-07-02
2026-07,broader_office_administration,income reconciliation administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Income Reconciliation Administrator,2,2,2026-07-01,2026-07-02
2026-07,broader_office_administration,learning and development administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Learning and Development Administrator,2,2,2026-07-02,2026-07-03
2026-07,broader_office_administration,mortgage administrator/ pensions administrator - step into financial planning,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Mortgage Administrator/ Pensions Administrator - Step into Financial Planning,2,2,2026-07-01,2026-07-02
2026-07,broader_office_administration,reward administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Reward Administrator,2,2,2026-07-09,2026-07-10
2026-07,broader_office_administration,ssas associate - pension administrator (remote),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,SSAS Associate - Pension Administrator (Remote),2,2,2026-07-01,2026-07-02
2026-07,broader_office_administration,treasury settlements administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Treasury Settlements Administrator,2,2,2026-07-01,2026-07-02
2026-07,broader_office_administration,wealth planning administrator (sjp practice),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Wealth Planning Administrator (SJP Practice),2,2,2026-07-01,2026-07-02
2026-07,broader_office_administration,wholesale and metering administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Wholesale and Metering Administrator,2,2,2026-07-01,2026-07-02
2026-07,broader_office_administration,administrator financial services - exeter,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Administrator Financial Services - Exeter,1,1,2026-07-02,2026-07-02
2026-07,broader_office_administration,customer communications administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Customer Communications Administrator,1,1,2026-07-02,2026-07-02
2026-07,broader_office_administration,despatch administrator - temporary maternity cover,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Despatch Administrator - Temporary Maternity Cover,1,1,2026-07-01,2026-07-01
2026-07,broader_office_administration,financial adviser administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Financial Adviser Administrator,1,1,2026-07-02,2026-07-02
2026-07,broader_office_administration,fleet service administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Fleet Service Administrator,1,1,2026-07-08,2026-07-08
2026-07,broader_office_administration,people team administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,People Team Administrator,1,1,2026-07-02,2026-07-02
2026-07,broader_office_administration,project administrator (belfast),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Project Administrator (Belfast),1,1,2026-07-02,2026-07-02
2026-07,broader_office_administration,safeguarding administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Safeguarding Administrator,1,1,2026-07-01,2026-07-01
2026-07,broader_office_administration,sipp administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,SIPP Administrator,1,1,2026-07-02,2026-07-02
2026-07,broader_office_administration,streetworks administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Streetworks Administrator,1,1,2026-07-09,2026-07-09
2026-07,broader_office_administration,temporary project administrator document control support,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Temporary Project Administrator Document Control Support,1,1,2026-07-04,2026-07-04
2026-07,broader_office_administration,website administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Website Administrator,1,1,2026-07-01,2026-07-01
2026-07,broader_office_administration,finance administrator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Finance Administrator,197,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,accounts administrator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Accounts Administrator,127,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,hr administrator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,HR Administrator,71,7,2026-07-08,2026-07-14
2026-07,broader_office_administration,legal secretary,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Legal Secretary,69,13,2026-07-02,2026-07-14
2026-07,broader_office_administration,transport administrator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Transport Administrator,66,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,sales administrator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Sales Administrator,55,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,logistics administrator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Logistics Administrator,47,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,technical administrator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Technical Administrator,35,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,senior ifa administrator,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Senior IFA Administrator,28,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,senior insolvency administrator,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Senior Insolvency Administrator,28,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,wealth management administrator,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Wealth Management Administrator,28,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,legal secretary - excellent benefits & environment,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Legal Secretary - Excellent Benefits & Environment,22,6,2026-07-09,2026-07-14
2026-07,broader_office_administration,senior finance administrator,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Senior Finance Administrator,21,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,recruitment administrator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Recruitment Administrator,20,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,family legal secretary,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Family Legal Secretary,18,7,2026-07-08,2026-07-14
2026-07,broader_office_administration,warehouse administrator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Warehouse Administrator,17,13,2026-07-01,2026-07-14
2026-07,broader_office_administration,maintenance contracts administrator (engineering),HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Maintenance Contracts Administrator (Engineering),15,13,2026-07-01,2026-07-14
2026-07,broader_office_administration,accounts and office assistant,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Accounts and Office Assistant,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,business support / finance administrator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Business Support / Finance Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,case management administrator/pa,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Case Management Administrator/PA,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,conveyancing administrator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Conveyancing Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,export logistics administrator - global company!,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Export Logistics Administrator - Global Company!,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,finance administrator - expenses (temporary contract),HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Finance Administrator - Expenses (Temporary Contract),14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,finance administrator innovative firm,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Finance Administrator INNOVATIVE FIRM,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,graduate payroll administrator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Graduate Payroll Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,immediate finance administrator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Immediate Finance Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,legal data administrator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Legal Data Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,legal secretary / legal assistant,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Legal Secretary / Legal Assistant,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,logistics & inventory administrator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Logistics & Inventory Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,mobile senior administrator,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Mobile Senior Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,office manager/administrator- edinburgh - 4 day week,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Office Manager/Administrator- Edinburgh - 4 day week,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,part time accounts administrator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Part Time Accounts Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,payroll & operations administrator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Payroll & Operations Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,personal assistant / legal secretary - poole - up to £28k,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Personal Assistant / Legal Secretary - Poole - Up to £28K,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,project coordinator / assistant project manager,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Project Coordinator / Assistant Project Manager,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,recruitment onsite operations coordinator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Recruitment Onsite Operations Coordinator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,senior administrator,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Senior Administrator,14,12,2026-07-03,2026-07-14
2026-07,broader_office_administration,senior ifa administrator - financial planning,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Senior IFA Administrator - Financial Planning,14,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,senior trust and company administrator,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Senior Trust and Company Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,senior windows server administrator,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Senior Windows Server Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,"team leader, defined benefits pensions administration",HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.","Team Leader, Defined Benefits Pensions Administration",14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,technical sales administrator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Technical Sales Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,trainee sales administrator - technical sales progression,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Trainee Sales Administrator - Technical Sales Progression,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,engineering and stores administrator,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Engineering and Stores Administrator,13,13,2026-07-02,2026-07-14
2026-07,broader_office_administration,senior pensions administrator,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Senior Pensions Administrator,13,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,office management and operations coordinator,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Office Management and Operations Coordinator,12,12,2026-07-03,2026-07-14
2026-07,broader_office_administration,pa / administrator (financial services / wealth management),HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",PA / Administrator (Financial Services / Wealth Management),12,12,2026-07-02,2026-07-14
2026-07,broader_office_administration,principal pensions data administrator,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Principal Pensions Data Administrator,12,12,2026-07-03,2026-07-14
2026-07,broader_office_administration,legal counsel & assistant company secretary,HARD_PASS,Specialist-domain administration belongs outside the broad general-office proposition.,Legal Counsel & Assistant Company Secretary,11,11,2026-07-04,2026-07-14
